season,rank,name,short_name,matchesplayed,matcheswon,matcheslost,noresult,matchpoints,nrr,for,against
2011,6,Rajasthan Royals,RR,14,6,7,1,13,-0.691,1687/242.2,1801/235.2
2011,7,Deccan Chargers,SRH,14,6,8,0,12,0.222,2140/279.2,2037/273.5
2011,8,Kochi Tuskers Kerala,Kochi,14,6,8,0,12,-0.214,1901/256.2,1989/260.4
2011,9,Pune Warriors,PWI,14,4,9,1,9,-0.134,1775/247.3,1858/254.2
2011,10,Delhi Capitals,DC,14,4,9,1,9,-0.448,2031/258.2,2076/249.5
2010,1,Mumbai Indians,MI,14,10,4,0,20,1.084,2408/277.0,2100/276.0
2010,2,Deccan Chargers,SRH,14,8,6,0,16,-0.297,2188/277.4,2254/275.4
2010,3,Chennai Super Kings,CSK,14,7,7,0,14,0.274,2285/271.1,2257/276.5
2010,4,Royal Challengers Bangalore,RCB,14,7,7,0,14,0.219,2166/260.4,2245/277.3
2010,5,Delhi Capitals,DC,14,7,7,0,14,0.021,2155/275.4,2166/277.5
2010,6,Kolkata Knight Riders,KKR,14,7,7,0,14,-0.341,2144/273.0,2192/267.3
2010,7,Rajasthan Royals,RR,14,6,8,0,12,-0.514,2179/270.4,2224/259.4
2010,8,Kings XI Punjab,KXIP,14,4,10,0,8,-0.478,2278/276.2,2365/271.1
2009,1,Delhi Capitals,DC,14,10,4,0,20,0.311,1978/255.2,1953/262.4
2009,2,Chennai Super Kings,CSK,14,8,5,1,17,0.951,2086/255.3,1855/257.1
2009,3,Royal Challengers Bangalore,RCB,14,8,6,0,16,-0.191,1994/276.0,2027/273.2
2009,4,Deccan Chargers,SRH,14,7,7,0,14,0.203,2111/272.4,2097/278.1
2009,5,Kings XI Punjab,KXIP,14,7,7,0,14,-0.483,1787/251.2,1887/248.3
2009,6,Rajasthan Royals,RR,14,6,7,1,13,-0.352,1688/253.1,1810/257.5
2009,7,Mumbai Indians,MI,14,5,8,1,11,0.297,1897/256.2,1802/253.4
2009,8,Kolkata Knight Riders,KKR,14,3,10,1,7,-0.789,1757/248.5,1867/237.5
2008,1,Rajasthan Royals,RR,14,11,3,0,22,0.632,2245/261.1,2153/270.2
2008,2,Kings XI Punjab,KXIP,14,10,4,0,20,0.509,2352/259.5,2271/265.5
2008,3,Chennai Super Kings,CSK,14,8,6,0,16,-0.192,2241/264.2,2195/253.1
2008,4,Delhi Capitals,DC,14,7,6,1,15,0.342,2001/233.2,2031/246.4
2008,5,Mumbai Indians,MI,14,7,7,0,14,0.57,2080/249.1,2096/269.3
2008,6,Kolkata Knight Riders,KKR,14,6,7,1,13,-0.147,1845/242.4,1718/221.4
2008,7,Royal Challengers Bangalore,RCB,14,4,10,0,8,-1.16,1983/272.4,2205/261.3
2008,8,Deccan Chargers,SRH,14,2,12,0,4,-0.467,2229/270.0,2307/264.3
